States,counts
Alabama,457
Alaska,61
Arizona,1398
Arkansas,173
California,19349
Colorado,954
Connecticut,1110
Delaware,1242
Florida,6376
Georgia,1846
Hawaii,383
Idaho,107
Illinois,3782
Indiana,1026
Iowa,460
Kansas,340
Kentucky,488
Louisiana,537
Maine,132
Maryland,1870
Massachusetts,2903
Michigan,2762
Minnesota,725
Mississippi,163
Missouri,660
Montana,49
Nebraska,245
Nevada,790
New Hampshire,241
New Jersey,4720
New Mexico,231
New York,16525
North Carolina,1344
North Dakota,64
Ohio,1890
Oklahoma,412
Oregon,7681
Pennsylvania,3109
Rhode Island,347
South Carolina,570
South Dakota,55
Tennessee,731
Texas,5876
Utah,450
Vermont,84
Virginia,2058
Washington,1863
West Virginia,166
Wisconsin,840
Wyoming,40
